rank,split,image,hardcase_similarity_score,nearest_prototype,nearest_prototype_count,component_count,fg_frac,nearest_bbox_gap,nearest_center_gap,fg_bg_contrast,image_std,roi_std,top_contributors,panel
28,train,2152.png,0.492852,candidate_shared_failure,6,22,0.033758,0.000000,0.026114,0.048705,0.057538,0.028493,component_area_iqr;nearest_center_gap;layout_width;component_area_cv,panels/28_train_2152_candidate.jpg
29,train,2509.png,0.494256,under_separated_bridge,6,26,0.038395,0.000000,0.031300,0.047103,0.051416,0.050623,compactness_median;aspect_median;component_count;component_area_iqr,panels/29_train_2509_candidate.jpg
30,train,5925.png,0.497218,underreach_high_precision,4,23,0.016819,0.000000,0.036382,0.264235,0.193298,0.157547,layout_width;thin_component_frac;component_area_min;component_count,panels/30_train_5925_candidate.jpg
31,val,2044.png,0.497510,candidate_shared_failure,6,20,0.031456,0.000000,0.027976,0.053447,0.049534,0.056694,layout_cy_median;layout_height;layout_cy_span;component_count,panels/31_val_2044_candidate.jpg
32,train,15177.png,0.497849,underreach_high_precision,4,23,0.015810,0.000000,0.032004,0.293527,0.186001,0.179790,thin_component_frac;nearest_center_gap;component_area_cv;image_mean,panels/32_train_15177_candidate.jpg
33,train,4339.png,0.498756,candidate_shared_failure,6,21,0.033230,0.000000,0.026923,0.050791,0.045218,0.029222,aspect_median;component_area_iqr;layout_cy_median;nearest_center_gap,panels/33_train_4339_candidate.jpg
34,train,3141.png,0.500469,overmask_low_precision,7,23,0.033045,0.000000,0.026597,0.044075,0.042855,0.026917,compactness_median;component_area_iqr;component_area_median;thin_component_frac,panels/34_train_3141_candidate.jpg
35,train,3197.png,0.512167,overmask_low_precision,7,23,0.036280,0.000000,0.023308,0.049789,0.045262,0.029303,compactness_median;layout_cy_median;nearest_center_gap;perimeter_area_median,panels/35_train_3197_candidate.jpg
36,train,15339.png,0.512807,mixed_boundary_bridge,2,26,0.031388,0.000000,0.027447,0.292494,0.147832,0.149536,layout_width;nearest_center_gap;bg_mean;image_mean,panels/36_train_15339_candidate.jpg
37,train,2886.png,0.512866,overmask_low_precision,7,22,0.035562,0.000000,0.026835,0.041892,0.049408,0.054331,compactness_median;aspect_median;layout_height;layout_cy_span,panels/37_train_2886_candidate.jpg
38,val,7269.png,0.515182,underreach_high_precision,4,25,0.024240,0.000000,0.037517,0.345340,0.197769,0.198688,component_area_cv;layout_width;component_area_max;boundary_fg_ratio,panels/38_val_7269_candidate.jpg
39,train,11779.png,0.515642,underreach_high_precision,4,25,0.020823,0.000000,0.032842,0.271736,0.226727,0.168934,layout_width;nearest_center_gap;aspect_median;component_area_iqr,panels/39_train_11779_candidate.jpg
40,train,2906.png,0.517795,under_separated_bridge,6,26,0.030218,0.000000,0.027344,0.045218,0.043146,0.027596,compactness_median;component_count;component_area_iqr;layout_width,panels/40_train_2906_candidate.jpg
41,train,3535.png,0.518268,all_hard,24,24,0.032926,0.000000,0.028255,0.078737,0.076941,0.027421,fg_mean;image_mean;bg_mean;layout_cy_median,panels/41_train_3535_candidate.jpg
42,train,3053.png,0.519992,under_separated_bridge,6,26,0.033324,0.000000,0.027064,0.046099,0.048531,0.028259,compactness_median;component_count;component_area_cv;perimeter_area_median,panels/42_train_3053_candidate.jpg
43,train,3922.png,0.521455,overmask_low_precision,7,22,0.040517,0.000000,0.024009,0.049789,0.048313,0.040929,compactness_median;thin_component_frac;perimeter_area_median;component_count,panels/43_train_3922_candidate.jpg
44,train,3003.png,0.521554,under_separated_bridge,6,22,0.031397,0.000000,0.028492,0.047215,0.042893,0.028972,compactness_median;layout_cy_median;component_count;aspect_median,panels/44_train_3003_candidate.jpg
45,train,10621.png,0.522314,underreach_high_precision,4,26,0.020129,0.000000,0.033980,0.376314,0.181544,0.191639,perimeter_area_median;component_area_min;nearest_center_gap;fg_bg_contrast,panels/45_train_10621_candidate.jpg
46,train,10910.png,0.522480,underreach_high_precision,4,26,0.022777,0.000000,0.030421,0.324454,0.191024,0.182554,nearest_center_gap;component_area_iqr;layout_height;layout_cy_span,panels/46_train_10910_candidate.jpg
47,train,2148.png,0.525252,candidate_shared_failure,6,24,0.039435,0.000000,0.027917,0.041671,0.063568,0.035243,layout_cy_median;component_area_max;perimeter_area_median;component_area_cv,panels/47_train_2148_candidate.jpg
48,train,9789.png,0.525970,underreach_high_precision,4,24,0.025310,0.000000,0.036532,0.311981,0.195420,0.184876,layout_width;component_area_iqr;component_area_min;layout_cy_median,panels/48_train_9789_candidate.jpg
49,train,1803.png,0.527317,severe_boundary_shift,6,20,0.048691,0.000000,0.029768,0.234416,0.139302,0.095796,aspect_median;component_area_iqr;compactness_median;layout_cy_median,panels/49_train_1803_candidate.jpg
50,train,1879.png,0.533610,all_hard,24,25,0.034281,0.000000,0.023677,0.188062,0.112102,0.074790,nearest_center_gap;perimeter_area_median;boundary_fg_ratio;component_count,panels/50_train_1879_candidate.jpg
51,train,3547.png,0.533799,under_separated_bridge,6,25,0.030897,0.000000,0.026992,0.092127,0.083020,0.029956,layout_width;compactness_median;image_mean;bg_mean,panels/51_train_3547_candidate.jpg
52,train,5692.png,0.533998,underreach_high_precision,4,26,0.022676,0.000000,0.031636,0.354597,0.201464,0.195283,nearest_center_gap;layout_width;perimeter_area_median;fg_mean,panels/52_train_5692_candidate.jpg
53,val,7253.png,0.534342,underreach_high_precision,4,25,0.017228,0.000000,0.031500,0.316215,0.181106,0.178191,nearest_center_gap;aspect_median;layout_cy_median;compactness_median,panels/53_val_7253_candidate.jpg
54,train,10015.png,0.534677,mixed_boundary_bridge,2,24,0.025243,0.000000,0.035702,0.281621,0.164179,0.160671,compactness_median;nearest_center_gap;aspect_median;layout_width,panels/54_train_10015_candidate.jpg
55,train,15509.png,0.536558,underreach_high_precision,4,22,0.020702,0.000000,0.039018,0.252599,0.164429,0.153112,layout_width;component_area_cv;layout_height;layout_cy_span,panels/55_train_15509_candidate.jpg
56,train,3448.png,0.541420,overmask_low_precision,7,24,0.031415,0.000000,0.024644,0.080538,0.073032,0.028770,compactness_median;aspect_median;thin_component_frac;image_mean,panels/56_train_3448_candidate.jpg
57,train,3483.png,0.541560,all_hard,24,25,0.030606,0.000000,0.030400,0.041049,0.061433,0.052029,compactness_median;fg_mean;aspect_median;fg_bg_contrast,panels/57_train_3483_candidate.jpg
58,train,13908.png,0.541737,candidate_fixable,7,23,0.020966,0.000000,0.036051,0.273520,0.189831,0.160913,component_area_min;layout_width;image_std;component_area_median,panels/58_train_13908_candidate.jpg
59,train,3499.png,0.542824,severe_boundary_shift,6,23,0.041969,0.000000,0.026749,0.221276,0.103230,0.102212,compactness_median;component_area_max;nearest_center_gap;layout_cy_median,panels/59_train_3499_candidate.jpg
60,train,2866.png,0.544458,overmask_low_precision,7,22,0.026953,0.000000,0.023816,0.042376,0.051649,0.039857,component_area_iqr;component_area_median;component_area_cv;compactness_median,panels/60_train_2866_candidate.jpg
61,train,1967.png,0.545968,all_hard,24,24,0.036486,0.000000,0.027942,0.203451,0.103611,0.095279,boundary_fg_ratio;component_area_max;perimeter_area_median;aspect_median,panels/61_train_1967_candidate.jpg
62,train,2099.png,0.547499,candidate_shared_failure,6,23,0.045047,0.000000,0.024650,0.071760,0.080916,0.037102,nearest_center_gap;bg_mean;image_mean;layout_height,panels/62_train_2099_candidate.jpg
63,train,3495.png,0.548861,under_separated_bridge,6,26,0.036231,0.000000,0.028260,0.082063,0.080182,0.039342,compactness_median;layout_width;component_count;bg_mean,panels/63_train_3495_candidate.jpg
64,train,15587.png,0.549465,underreach_high_precision,4,25,0.020690,0.000000,0.030124,0.294069,0.160217,0.157011,nearest_center_gap;aspect_median;compactness_median;bg_mean,panels/64_train_15587_candidate.jpg
65,train,1614.png,0.550403,all_hard,24,25,0.034944,0.000000,0.026920,0.261097,0.163784,0.121752,perimeter_area_median;boundary_fg_ratio;component_count;nearest_center_gap,panels/65_train_1614_candidate.jpg
66,val,7312.png,0.551814,all_hard,24,23,0.025747,0.000000,0.028115,0.264101,0.192113,0.162630,image_std;roi_std;component_area_iqr;fg_std,panels/66_val_7312_candidate.jpg
67,train,6488.png,0.552968,mixed_boundary_bridge,2,25,0.022693,0.000000,0.032030,0.283790,0.159747,0.152312,compactness_median;component_area_min;layout_width;aspect_median,panels/67_train_6488_candidate.jpg
68,train,1750.png,0.553913,severe_boundary_shift,6,19,0.040977,0.000000,0.029666,0.262985,0.138694,0.135196,component_area_iqr;component_area_cv;component_area_median;layout_width,panels/68_train_1750_candidate.jpg
69,train,2100.png,0.555228,all_hard,24,26,0.026798,0.000000,0.027134,0.119244,0.108897,0.026454,component_count;component_area_min;layout_cy_median;fg_mean,panels/69_train_2100_candidate.jpg
70,train,4245.png,0.557753,candidate_shared_failure,6,23,0.042418,0.000000,0.028724,0.039573,0.044791,0.024315,aspect_median;component_area_cv;perimeter_area_median;component_area_max,panels/70_train_4245_candidate.jpg
71,train,15174.png,0.557853,underreach_high_precision,4,25,0.024766,0.000000,0.034001,0.268543,0.184054,0.163307,thin_component_frac;layout_cy_median;layout_width;component_area_min,panels/71_train_15174_candidate.jpg
72,train,12611.png,0.558660,underreach_high_precision,4,24,0.019773,0.000000,0.034075,0.322217,0.182300,0.172709,component_area_min;thin_component_frac;layout_height;layout_cy_span,panels/72_train_12611_candidate.jpg
73,train,6547.png,0.562233,underreach_high_precision,4,24,0.024476,0.000000,0.032566,0.311174,0.166583,0.178622,nearest_center_gap;component_area_iqr;boundary_fg_ratio;perimeter_area_median,panels/73_train_6547_candidate.jpg
74,train,3521.png,0.564398,under_separated_bridge,6,26,0.035914,0.000000,0.025428,0.037649,0.067808,0.026574,layout_cy_median;compactness_median;component_count;nearest_center_gap,panels/74_train_3521_candidate.jpg
75,train,13087.png,0.565512,underreach_high_precision,4,25,0.024380,0.000000,0.038682,0.263595,0.178788,0.162954,layout_cy_median;aspect_median;layout_height;layout_cy_span,panels/75_train_13087_candidate.jpg
76,train,4819.png,0.566416,all_hard,24,25,0.032718,0.000000,0.028656,0.308864,0.162621,0.159580,layout_width;fg_std;fg_bg_contrast;roi_std,panels/76_train_4819_candidate.jpg
77,train,3942.png,0.568955,under_separated_bridge,6,24,0.036125,0.000000,0.022576,0.088246,0.083583,0.029402,nearest_center_gap;thin_component_frac;layout_cy_median;compactness_median,panels/77_train_3942_candidate.jpg
78,train,14594.png,0.570561,underreach_high_precision,4,28,0.025125,0.000000,0.033412,0.355031,0.190876,0.182611,layout_width;component_count;thin_component_frac;nearest_center_gap,panels/78_train_14594_candidate.jpg
79,train,15392.png,0.572100,all_hard,24,25,0.028342,0.000000,0.031131,0.337286,0.178666,0.179580,fg_bg_contrast;roi_std;fg_std;image_std,panels/79_train_15392_candidate.jpg
80,train,1794.png,0.573006,severe_boundary_shift,6,19,0.039671,0.000000,0.032417,0.223067,0.125403,0.103626,layout_height;layout_cy_span;layout_width;component_area_median,panels/80_train_1794_candidate.jpg
81,train,15162.png,0.575075,underreach_high_precision,4,25,0.020491,0.000000,0.028794,0.332354,0.192598,0.183498,nearest_center_gap;layout_width;aspect_median;perimeter_area_median,
82,train,4256.png,0.576052,overmask_low_precision,7,24,0.033582,0.000000,0.024423,0.082905,0.095675,0.023987,compactness_median;aspect_median;component_area_median;perimeter_area_median,
83,val,3725.png,0.578024,under_separated_bridge,6,25,0.032905,0.000000,0.025059,0.056248,0.063358,0.027750,compactness_median;thin_component_frac;nearest_center_gap;component_area_iqr,
84,train,15323.png,0.578163,underreach_high_precision,4,27,0.027377,0.000000,0.030919,0.315126,0.175729,0.168623,nearest_center_gap;perimeter_area_median;boundary_fg_ratio;component_count,
85,train,14646.png,0.578890,candidate_fixable,7,23,0.014714,0.000000,0.039773,0.257734,0.148277,0.147068,perimeter_area_median;compactness_median;nearest_center_gap;component_area_min,
86,train,13500.png,0.579114,underreach_high_precision,4,28,0.020925,0.000000,0.032391,0.260459,0.234351,0.173125,thin_component_frac;nearest_center_gap;component_count;component_area_min,
87,train,14186.png,0.579219,all_hard,24,25,0.033425,0.000000,0.031216,0.315565,0.164834,0.161989,aspect_median;fg_bg_contrast;roi_std;component_count,
88,train,1596.png,0.579329,all_hard,24,24,0.019925,0.000000,0.031220,0.174258,0.108440,0.082066,layout_cy_median;thin_component_frac;fg_frac;aspect_median,
89,train,4197.png,0.579443,overmask_low_precision,7,25,0.032074,0.000000,0.026458,0.041873,0.041563,0.025530,compactness_median;component_area_median;layout_cy_median;perimeter_area_median,
90,train,12687.png,0.580992,underreach_high_precision,4,25,0.031265,0.000000,0.036754,0.315646,0.178278,0.177185,layout_width;component_area_iqr;perimeter_area_median;component_area_median,
91,train,15286.png,0.581063,underreach_high_precision,4,26,0.023096,0.000000,0.033998,0.337541,0.191633,0.184387,layout_width;thin_component_frac;nearest_center_gap;layout_height,
92,train,9450.png,0.582523,underreach_high_precision,4,27,0.022364,0.000000,0.029373,0.288122,0.165473,0.163244,nearest_center_gap;layout_cy_median;thin_component_frac;component_count,
93,train,1739.png,0.583784,severe_boundary_shift,6,20,0.038709,0.000000,0.029191,0.203130,0.112870,0.087423,component_area_max;layout_cy_median;component_area_cv;component_area_iqr,
94,train,2888.png,0.585640,candidate_shared_failure,6,21,0.036171,0.000000,0.031680,0.047579,0.041316,0.031608,thin_component_frac;aspect_median;compactness_median;component_area_min,
95,train,4091.png,0.586594,overmask_low_precision,7,23,0.035737,0.000000,0.025658,0.092378,0.093266,0.042833,compactness_median;bg_mean;image_mean;layout_width,
96,train,7230.png,0.587232,underreach_high_precision,4,26,0.024245,0.000000,0.030411,0.321809,0.195929,0.183516,nearest_center_gap;boundary_fg_ratio;perimeter_area_median;compactness_median,
97,train,4262.png,0.588548,candidate_shared_failure,6,21,0.049189,0.000000,0.027203,0.070568,0.071755,0.031513,component_area_max;aspect_median;component_area_cv;nearest_center_gap,
98,train,1388.png,0.591587,severe_boundary_shift,6,19,0.045296,0.000000,0.029076,0.263791,0.139396,0.140433,layout_cy_median;component_area_iqr;component_area_median;perimeter_area_median,
99,train,1547.png,0.593151,mixed_boundary_bridge,2,25,0.031232,0.000000,0.029882,0.247812,0.170403,0.154968,boundary_fg_ratio;perimeter_area_median;layout_width;component_area_cv,
100,train,15135.png,0.594336,underreach_high_precision,4,25,0.014409,0.000000,0.034563,0.329977,0.186195,0.179001,component_area_min;thin_component_frac;component_area_median;nearest_center_gap,
101,train,15538.png,0.599401,mixed_boundary_bridge,2,27,0.017816,0.000000,0.028585,0.232391,0.189124,0.138929,image_mean;bg_mean;thin_component_frac;nearest_center_gap,
102,train,1435.png,0.600088,severe_boundary_shift,6,20,0.049012,0.000000,0.033802,0.286719,0.162711,0.165173,component_area_iqr;layout_cy_median;component_area_cv;component_area_max,
103,train,3739.png,0.600187,candidate_shared_failure,6,22,0.041438,0.000000,0.027214,0.059077,0.066639,0.043770,compactness_median;component_area_min;component_area_iqr;thin_component_frac,
104,train,7006.png,0.600637,underreach_high_precision,4,27,0.020151,0.000000,0.031333,0.365746,0.203719,0.192625,nearest_center_gap;compactness_median;boundary_fg_ratio;thin_component_frac,
105,train,3196.png,0.601487,under_separated_bridge,6,23,0.032463,0.000000,0.026794,0.046460,0.039999,0.027709,layout_cy_median;compactness_median;thin_component_frac;component_area_min,
106,train,2830.png,0.606141,candidate_shared_failure,6,22,0.046496,0.000000,0.030031,0.052543,0.042314,0.031223,component_area_min;thin_component_frac;compactness_median;layout_cy_median,
107,train,11795.png,0.606526,mixed_boundary_bridge,2,26,0.020103,0.000000,0.029256,0.270956,0.159274,0.159383,layout_width;thin_component_frac;component_area_iqr;compactness_median,
108,train,9689.png,0.606604,underreach_high_precision,4,27,0.023142,0.000000,0.030149,0.327632,0.193337,0.180117,nearest_center_gap;compactness_median;layout_width;thin_component_frac,
109,val,7654.png,0.606729,underreach_high_precision,4,28,0.024180,0.000000,0.028687,0.238541,0.193920,0.163083,nearest_center_gap;component_count;image_mean;bg_mean,
110,train,2101.png,0.607031,all_hard,24,26,0.028613,0.000000,0.029527,0.080367,0.090623,0.025958,component_count;perimeter_area_median;component_area_min;thin_component_frac,
111,train,6141.png,0.607034,underreach_high_precision,4,28,0.019160,0.000000,0.033590,0.367067,0.188208,0.191234,component_area_min;component_count;thin_component_frac;nearest_center_gap,
112,train,1597.png,0.607103,all_hard,24,23,0.033394,0.000000,0.024180,0.229374,0.130953,0.123118,perimeter_area_median;nearest_center_gap;boundary_fg_ratio;compactness_median,
113,train,5851.png,0.607481,candidate_fixable,7,23,0.021443,0.000000,0.035015,0.284273,0.180110,0.170936,thin_component_frac;aspect_median;component_area_iqr;component_area_median,
114,train,14327.png,0.610181,underreach_high_precision,4,27,0.027347,0.000000,0.035356,0.367029,0.184740,0.189728,component_area_iqr;perimeter_area_median;compactness_median;boundary_fg_ratio,
115,val,3493.png,0.611050,all_hard,24,24,0.030007,0.000000,0.024222,0.202689,0.095222,0.097532,nearest_center_gap;perimeter_area_median;boundary_fg_ratio;layout_width,
116,train,2838.png,0.612849,under_separated_bridge,6,23,0.044130,0.000000,0.030144,0.052330,0.046225,0.032796,compactness_median;component_area_min;perimeter_area_median;layout_width,
117,val,15067.png,0.615999,mixed_boundary_bridge,2,26,0.024138,0.000000,0.030146,0.359746,0.185006,0.179732,bg_mean;image_mean;fg_bg_contrast;perimeter_area_median,
118,train,5866.png,0.618946,underreach_high_precision,4,24,0.022596,0.000000,0.029881,0.245635,0.143894,0.132671,nearest_center_gap;component_area_min;aspect_median;layout_height,
119,train,2836.png,0.619714,all_hard,24,25,0.033900,0.000000,0.032967,0.054285,0.052346,0.029200,compactness_median;image_std;layout_width;component_count,
120,train,2118.png,0.620851,candidate_shared_failure,6,21,0.035811,0.000000,0.024831,0.049239,0.049743,0.030724,aspect_median;compactness_median;thin_component_frac;nearest_center_gap,
121,val,3567.png,0.621325,under_separated_bridge,6,26,0.033614,0.000000,0.030432,0.078480,0.085129,0.024955,compactness_median;component_count;image_mean;component_area_cv,
122,train,11612.png,0.621787,mixed_boundary_bridge,2,23,0.016630,0.000000,0.027968,0.308176,0.188397,0.172895,layout_width;component_area_iqr;nearest_center_gap;component_count,
123,train,11283.png,0.622389,all_hard,24,25,0.032967,0.000000,0.030645,0.318468,0.168371,0.167841,compactness_median;fg_bg_contrast;roi_std;fg_std,
124,train,13763.png,0.622863,underreach_high_precision,4,26,0.022220,0.000000,0.032644,0.353435,0.187258,0.188890,component_area_min;layout_cy_median;nearest_center_gap;aspect_median,
125,train,9258.png,0.624101,candidate_fixable,7,22,0.012384,0.000000,0.033017,0.301526,0.161426,0.161036,perimeter_area_median;layout_cy_median;thin_component_frac;compactness_median,
126,train,15382.png,0.624543,underreach_high_precision,4,22,0.016687,0.000000,0.034361,0.311759,0.204778,0.183573,layout_width;layout_cy_median;thin_component_frac;component_count,
127,train,2829.png,0.625621,under_separated_bridge,6,20,0.044484,0.000000,0.030128,0.046534,0.044322,0.028754,component_count;component_area_max;component_area_iqr;component_area_min,
128,train,6021.png,0.626458,underreach_high_precision,4,27,0.025122,0.000000,0.030056,0.340202,0.186522,0.179670,nearest_center_gap;component_area_min;layout_width;component_count,
129,train,2872.png,0.627058,under_separated_bridge,6,25,0.027861,0.000000,0.024396,0.045171,0.054730,0.028701,compactness_median;nearest_center_gap;component_area_iqr;thin_component_frac,
130,val,11852.png,0.628493,all_hard,24,23,0.034402,0.000000,0.029991,0.306920,0.181850,0.160733,fg_std;layout_width;component_area_max;fg_bg_contrast,
131,train,11285.png,0.632258,mixed_boundary_bridge,2,26,0.027799,0.000000,0.030759,0.357441,0.201598,0.188159,bg_mean;image_mean;layout_height;layout_cy_span,
132,train,2150.png,0.632563,candidate_shared_failure,6,25,0.048402,0.000000,0.029660,0.046559,0.063284,0.029174,aspect_median;layout_cy_median;component_area_cv;component_count,
133,train,6790.png,0.632793,underreach_high_precision,4,27,0.025598,0.000000,0.030465,0.330800,0.163905,0.165545,nearest_center_gap;component_area_iqr;boundary_fg_ratio;perimeter_area_median,
134,val,13480.png,0.633984,underreach_high_precision,4,26,0.031179,0.000000,0.036516,0.314892,0.176691,0.178473,layout_width;perimeter_area_median;boundary_fg_ratio;component_area_median,
135,train,4337.png,0.635642,all_hard,24,22,0.030571,0.000000,0.034922,0.115736,0.096390,0.039240,layout_width;image_mean;bg_mean;fg_mean,
136,train,5909.png,0.635717,all_hard,24,24,0.029290,0.000000,0.027600,0.330904,0.190767,0.180167,aspect_median;roi_std;fg_bg_contrast;image_std,
137,train,4182.png,0.637746,all_hard,24,20,0.029299,0.000000,0.026244,0.101066,0.094608,0.051892,compactness_median;layout_width;fg_mean;layout_height,
138,train,2265.png,0.638432,candidate_shared_failure,6,23,0.042001,0.000000,0.027651,0.082787,0.047765,0.048164,image_mean;bg_mean;aspect_median;fg_mean,
139,train,13923.png,0.639304,mixed_boundary_bridge,2,27,0.030348,0.000000,0.033773,0.262160,0.173239,0.151340,bg_mean;image_mean;perimeter_area_median;component_area_median,
140,train,1888.png,0.640039,severe_boundary_shift,6,20,0.060208,0.000000,0.035189,0.184811,0.109188,0.092212,aspect_median;layout_height;layout_cy_span;nearest_center_gap,
141,train,11237.png,0.640600,candidate_fixable,7,24,0.014285,0.000000,0.030221,0.314233,0.172972,0.169470,aspect_median;perimeter_area_median;nearest_center_gap;component_count,
142,train,5793.png,0.640721,underreach_high_precision,4,24,0.017988,0.000000,0.031082,0.288152,0.161118,0.158131,nearest_center_gap;component_area_min;layout_width;aspect_median,
143,train,15137.png,0.643819,all_hard,24,25,0.032759,0.000000,0.030570,0.348614,0.193820,0.184123,fg_bg_contrast;roi_std;image_std;fg_std,
144,train,7211.png,0.644864,all_hard,24,27,0.034740,0.000000,0.034310,0.293197,0.170311,0.161422,component_count;compactness_median;fg_std;nearest_center_gap,
145,train,13174.png,0.645107,candidate_fixable,7,23,0.015485,0.000000,0.031428,0.180851,0.179688,0.129080,compactness_median;layout_cy_median;layout_height;layout_cy_span,
146,train,1903.png,0.645383,severe_boundary_shift,6,22,0.036047,0.000000,0.029790,0.170282,0.133751,0.085040,layout_cy_median;component_area_max;aspect_median;component_area_min,
