dataset,split,comparison_role,method,baseline,metric,direction,baseline_value,method_value,delta,favorable,protocol_note
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,IoU,up,0.8276977543,0.8276643380,-0.0000334163,false,exact R350 inference and R201 path; clean-test-v2 locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,Boundary IoU,up,0.2432205088,0.2457666855,0.0025461766,true,exact R350 inference and R201 path; clean-test-v2 locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,Boundary F1,up,0.3841119259,0.3874665014,0.0033545755,true,exact R350 inference and R201 path; clean-test-v2 locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,Surface Dice 2px,up,0.6633426238,0.6691965690,0.0058539453,true,exact R350 inference and R201 path; clean-test-v2 locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,Surface Dice 5px,up,0.9089936226,0.9125022786,0.0035086561,true,exact R350 inference and R201 path; clean-test-v2 locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,HD95 px,down,16.9633424222,16.5852569970,-0.3780854252,true,exact R350 inference and R201 path; clean-test-v2 locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,ASSD px,down,4.3814803299,4.2683977511,-0.1130825788,true,exact R350 inference and R201 path; clean-test-v2 locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,Gap-region FP,down,0.2148550220,0.1841519304,-0.0307030916,true,exact R350 inference and R201 path; clean-test-v2 locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,Merge rate,down,0.6354166667,0.5625000000,-0.0729166667,true,exact R350 inference and R201 path; clean-test-v2 locked
TSRS_RSNA-Epiphysis,original-val (96),matched recheck,R350 unified interaction PCGrad,R202 native nnU-Net matched recheck,Component-count MAE,down,2.1666666667,1.9583333333,-0.2083333334,true,exact R350 inference and R201 path; clean-test-v2 locked
