split,image,reason,nearest_prototype,hardcase_similarity_score,component_count,fg_frac,nearest_center_gap,fg_bg_contrast,panel
train,3197.png,r124_hardcase_similarity_train_candidate,overmask_low_precision,0.512167,23,0.036280,0.023308,0.049789,panels/35_train_3197_candidate.jpg
train,2886.png,r124_hardcase_similarity_train_candidate,overmask_low_precision,0.512866,22,0.035562,0.026835,0.041892,panels/37_train_2886_candidate.jpg
train,3922.png,r124_hardcase_similarity_train_candidate,overmask_low_precision,0.521455,22,0.040517,0.024009,0.049789,panels/43_train_3922_candidate.jpg
train,3448.png,r124_hardcase_similarity_train_candidate,overmask_low_precision,0.541420,24,0.031415,0.024644,0.080538,panels/56_train_3448_candidate.jpg
train,2866.png,r124_hardcase_similarity_train_candidate,overmask_low_precision,0.544458,22,0.026953,0.023816,0.042376,panels/60_train_2866_candidate.jpg
train,1387.png,r124_hardcase_similarity_train_candidate,severe_boundary_shift,0.400525,23,0.048571,0.028586,0.226617,panels/06_train_1387_candidate.jpg
train,1803.png,r124_hardcase_similarity_train_candidate,severe_boundary_shift,0.527317,20,0.048691,0.029768,0.234416,panels/49_train_1803_candidate.jpg
train,3499.png,r124_hardcase_similarity_train_candidate,severe_boundary_shift,0.542824,23,0.041969,0.026749,0.221276,panels/59_train_3499_candidate.jpg
train,1750.png,r124_hardcase_similarity_train_candidate,severe_boundary_shift,0.553913,19,0.040977,0.029666,0.262985,panels/68_train_1750_candidate.jpg
train,1794.png,r124_hardcase_similarity_train_candidate,severe_boundary_shift,0.573006,19,0.039671,0.032417,0.223067,panels/80_train_1794_candidate.jpg
train,14302.png,r124_hardcase_similarity_train_candidate,mixed_boundary_bridge,0.432135,27,0.026058,0.037832,0.211809,panels/11_train_14302_candidate.jpg
train,15339.png,r124_hardcase_similarity_train_candidate,mixed_boundary_bridge,0.512807,26,0.031388,0.027447,0.292494,panels/36_train_15339_candidate.jpg
train,10015.png,r124_hardcase_similarity_train_candidate,mixed_boundary_bridge,0.534677,24,0.025243,0.035702,0.281621,panels/54_train_10015_candidate.jpg
train,6488.png,r124_hardcase_similarity_train_candidate,mixed_boundary_bridge,0.552968,25,0.022693,0.032030,0.283790,panels/67_train_6488_candidate.jpg
train,4181.png,r124_hardcase_similarity_train_candidate,all_hard,0.475694,23,0.029970,0.032508,0.078106,panels/23_train_4181_candidate.jpg
train,3535.png,r124_hardcase_similarity_train_candidate,all_hard,0.518268,24,0.032926,0.028255,0.078737,panels/41_train_3535_candidate.jpg
train,1879.png,r124_hardcase_similarity_train_candidate,all_hard,0.533610,25,0.034281,0.023677,0.188062,panels/50_train_1879_candidate.jpg
train,3483.png,r124_hardcase_similarity_train_candidate,all_hard,0.541560,25,0.030606,0.030400,0.041049,panels/57_train_3483_candidate.jpg
train,5117.png,r124_hardcase_similarity_train_candidate,candidate_fixable,0.486132,22,0.016588,0.031941,0.251324,panels/26_train_5117_candidate.jpg
val,2024.png,r124_hardcase_similarity_val_audit,under_separated_bridge,0.421656,26,0.033758,0.029610,0.036481,panels/09_val_2024_candidate.jpg
val,13454.png,r124_hardcase_similarity_val_audit,underreach_high_precision,0.412624,25,0.021676,0.036241,0.306186,panels/07_val_13454_candidate.jpg
val,7269.png,r124_hardcase_similarity_val_audit,underreach_high_precision,0.515182,25,0.024240,0.037517,0.345340,panels/38_val_7269_candidate.jpg
val,7253.png,r124_hardcase_similarity_val_audit,underreach_high_precision,0.534342,25,0.017228,0.031500,0.316215,panels/53_val_7253_candidate.jpg
val,2044.png,r124_hardcase_similarity_val_audit,candidate_shared_failure,0.497510,20,0.031456,0.027976,0.053447,panels/31_val_2044_candidate.jpg
val,7312.png,r124_hardcase_similarity_val_audit,all_hard,0.551814,23,0.025747,0.028115,0.264101,panels/66_val_7312_candidate.jpg
