rank,image,dice,precision,recall,boundary_iou,component_delta,error_in_disagreement_share,disagreement_pixel_oracle_dice,primary_tag,auto_tags,human_tag,human_notes,suggested_action,panel
11,4099.png,0.8956663793879678,0.8948721244056034,0.8964620455247708,0.1387416568511975,-2,0.5176920231783997,0.9506066842590372,severe_boundary_shift,severe_boundary_shift,,,manual review before experiment,panels/11_4099_audit.jpg
12,4078.png,0.8969790738743807,0.9713642594817811,0.8331760709567843,0.12408640041764553,-1,0.5200621966019418,0.9527821411647942,underreach_high_precision,underreach_high_precision;severe_boundary_shift,,,inspect label extent; consider boundary/recall protocol review,panels/12_4078_audit.jpg
13,4319.png,0.8988380789084873,0.8374175786826185,0.969981496791465,0.17516429934280262,0,0.26181031373963215,0.9250375361628886,overmask_low_precision,overmask_low_precision;candidate_shared_failure,,,visual/label review or collect matching hard train examples; do not use candidate readout alone,panels/13_4319_audit.jpg
14,1468.png,0.899671913720289,0.8499942292789896,0.9555168387300057,0.17436248379196082,-9,0.4544703426682901,0.9447018218204098,under_separated_bridge,under_separated_bridge;overmask_low_precision,,,inspect bridge/low-contrast pattern; consider hard-case data curation before new model,panels/14_1468_audit.jpg
15,3900.png,0.8997330791229743,0.8823633898938905,0.9178003597996791,0.1373663448562234,-1,0.5018777334093935,0.9506402843300509,severe_boundary_shift,severe_boundary_shift,,,manual review before experiment,panels/15_3900_audit.jpg
16,2982.png,0.9015703679574358,0.907941498086386,0.8952880286815645,0.21521573845276562,-2,0.6629895201323773,0.9676544157545759,candidate_fixable,candidate_fixable,,,candidate-guided training only if matching train/val examples can be curated,panels/16_2982_audit.jpg
17,2495.png,0.9018267978348093,0.8773464761468124,0.9277124658290578,0.19462537007515374,-2,0.3634908993932929,0.9387121002997952,candidate_shared_failure,candidate_shared_failure,,,visual/label review or collect matching hard train examples; do not use candidate readout alone,panels/17_2495_audit.jpg
18,1784.png,0.9027391109115402,0.9120272918632504,0.893638206322677,0.2509405897278852,0,0.6271468144044321,0.9647391676417681,candidate_fixable,candidate_fixable,,,candidate-guided training only if matching train/val examples can be curated,panels/18_1784_audit.jpg
19,1789.png,0.9051968224382018,0.9292688149508185,0.882340472472282,0.1225357452339688,1,0.6149939144274881,0.9640805256572353,severe_boundary_shift,severe_boundary_shift;candidate_fixable,,,candidate-guided training only if matching train/val examples can be curated,panels/19_1789_audit.jpg
20,7397.png,0.9053746708163753,0.920385750357458,0.8908453814669768,0.25963248369887376,0,0.4229917773561037,0.9461680312753559,mixed_boundary_bridge,mixed_boundary_bridge,,,manual review before experiment,panels/20_7397_audit.jpg
21,1891.png,0.9102914905903751,0.875709998650094,0.947716494729508,0.10810345322501938,-1,0.3737215738178318,0.944320534009403,overmask_low_precision,overmask_low_precision;severe_boundary_shift,,,inspect bridge/low-contrast pattern; consider hard-case data curation before new model,panels/21_1891_audit.jpg
22,2168.png,0.9147099967717637,0.8715141076115486,0.962411122684661,0.251215362177929,-5,0.3897300025233409,0.9476067200311955,under_separated_bridge,under_separated_bridge;overmask_low_precision,,,inspect bridge/low-contrast pattern; consider hard-case data curation before new model,panels/22_2168_audit.jpg
23,3660.png,0.9064754402144403,0.8679849465205335,0.9485380327927992,0.2319278764224067,-7,0.39839646115565386,0.9435967443709067,under_separated_bridge,under_separated_bridge;overmask_low_precision,,,inspect bridge/low-contrast pattern; consider hard-case data curation before new model,panels/23_3660_audit.jpg
24,15578.png,0.9058883377845606,0.9516366065464262,0.8643368523237471,0.24184202500762428,-1,0.5616554054054054,0.9604559377047681,underreach_high_precision,underreach_high_precision;candidate_fixable,,,candidate-guided training only if matching train/val examples can be curated,panels/24_15578_audit.jpg
